id,date,user,pc,activity
{T8O4-Q8RQ99IE-0294IZSC},01/04/2010 06:35:17,DTAA/MWH0853,PC-3024,Logon
{Z5P4-H1UD43BJ-8937ZJAS},01/04/2010 06:35:41,DTAA/OLR0984,PC-0846,Logon
{N5F5-Y3WR76JE-5453DCES},01/04/2010 06:35:44,DTAA/CSC0297,PC-2848,Logon
{T5K0-S4YB11HT-1689WDRI},01/04/2010 06:36:19,DTAA/NHH0566,PC-1651,Logon
{B8U0-X8NK98QM-0702VJEJ},01/04/2010 06:36:26,DTAA/ACD0647,PC-3117,Logon
{F4B1-B8OM22IK-7986DNOG},01/04/2010 06:37:06,DTAA/BFO0974,PC-2099,Logon
{G5U0-W8JK29BK-2835XEIM},01/04/2010 06:38:10,DTAA/CDR0453,PC-1817,Logon
{G9J0-C3XN50FO-7910QHZB},01/04/2010 06:39:40,DTAA/NQC0925,PC-4866,Logon
{T4W1-T3BV53VD-7564RYMF},01/04/2010 06:39:58,DTAA/AKA0033,PC-2020,Logon
{M8Y9-P4LW13IE-3902GACH},01/04/2010 06:40:18,DTAA/MGF0743,PC-2137,Logon
{D4L3-A4RQ61SY-2060XROP},01/04/2010 06:41:46,DTAA/OAR0291,PC-2700,Logon
{F8E3-V3OI83OS-4325MVHH},01/04/2010 06:42:05,DTAA/TRB0414,PC-3114,Logon
{C8S3-O6BP97ZH-0492KWXH},01/04/2010 06:42:45,DTAA/KPC0158,PC-2342,Logon
{X9N6-V0NK51KT-8076HKFQ},01/04/2010 06:44:18,DTAA/OTS0256,PC-0929,Logon
{H1B1-B8NH52WE-2791KNIM},01/04/2010 06:44:34,DTAA/NJD0267,PC-0299,Logon
{H8I7-N4PQ93RF-3964CSNL},01/04/2010 06:45:58,DTAA/ZKH0388,PC-1021,Logon
{J9U5-Z3CY50PV-1654FWVL},01/04/2010 06:46:36,DTAA/SJH0907,PC-2525,Logon
{G8B8-F6WB38JE-5176DMTJ},01/04/2010 06:46:42,DTAA/GHC0041,PC-1139,Logon
{F1Q3-E2PP25XT-0564JHDJ},01/04/2010 06:46:51,DTAA/ARS0993,PC-1203,Logon
{J9D7-T9FK68XD-6049PHHA},01/04/2010 06:46:56,DTAA/XHN0227,PC-0440,Logon
{C1M3-P0VB20XT-5027GEBV},01/04/2010 06:47:48,DTAA/NRS0477,PC-0672,Logon
{K1K7-A2BB07OG-0867TMWC},01/04/2010 06:49:04,DTAA/DAO0613,PC-4598,Logon
{C4F7-B2UB98EZ-3617IZJE},01/04/2010 06:49:10,DTAA/MCH0530,PC-4577,Logon
{M5Q8-Y8TV32PR-0408HGNA},01/04/2010 06:50:12,DTAA/CZB0163,PC-0016,Logon
{Y3C6-B7PB72XC-2880QWQV},01/04/2010 06:50:18,DTAA/DST0527,PC-0745,Logon
{L5T9-L4RO29VH-7375EUYY},01/04/2010 06:50:19,DTAA/HTG0554,PC-0010,Logon
{B3Y0-K8LF21IQ-8501NHFB},01/04/2010 06:50:34,DTAA/BCV0109,PC-0023,Logon
{P1L9-Y3KY87KI-9135XREL},01/04/2010 06:50:39,DTAA/CNT0514,PC-2053,Logon
{N1J0-E8DT29DX-6060OLBQ},01/04/2010 06:51:08,DTAA/CLB0995,PC-3293,Logon
{X5Y4-T8FZ98BI-5075FWKM},01/04/2010 06:51:23,DTAA/SXH0895,PC-4647,Logon
{V8K8-Z5AQ16NY-1263AGGC},01/04/2010 06:51:25,DTAA/BJC0569,PC-2588,Logon
{U3P8-I9YS20RA-6588ZRNY},01/04/2010 06:52:25,DTAA/EGM0401,PC-0936,Logon
{U4B2-A7UC17PV-3452RIPT},01/04/2010 06:52:46,DTAA/JBA0373,PC-4398,Logon
{Z6K0-H4CK77UQ-9389SSMN},01/04/2010 06:52:49,DTAA/BCG0692,PC-3524,Logon
{R1X0-Q7TU96ZS-4259XPLE},01/04/2010 06:53:56,DTAA/JCS0873,PC-1560,Logon
{J2B0-L0CD15PQ-4191JHFJ},01/04/2010 06:56:46,DTAA/AMA0606,PC-1514,Logon
{F7U4-R8PJ16PH-6015IZZK},01/04/2010 06:58:01,DTAA/KRC0021,PC-1203,Logon
{J8Y4-I1KT84NQ-1178PUKK},01/04/2010 06:58:48,DTAA/RWD0210,PC-2564,Logon
{V5C9-O1HQ46IJ-9919ZFUW},01/04/2010 06:58:53,DTAA/OKG0160,PC-1360,Logon
{P8H6-P7QM03MN-2328BDFX},01/04/2010 06:59:23,DTAA/DRP0428,PC-2979,Logon
{B6R6-I7FG48LR-0729PHSA},01/04/2010 06:59:32,DTAA/RES0962,PC-3736,Logon
{E1F9-L9AU65PL-5131FCWY},01/04/2010 06:59:56,DTAA/BCG0303,PC-3363,Logon
{S8I3-O7UH23ZL-7382KXRV},01/04/2010 07:00:10,DTAA/JNF0543,PC-1389,Logon
{U8L9-X9JS34LM-8930OKQA},01/04/2010 07:00:53,DTAA/GJG0820,PC-2498,Logon
{O5F9-P7ML31ZH-4347UKNH},01/04/2010 07:01:09,DTAA/ICF0629,PC-3067,Logon
{L6G8-V4HO21SN-3846YZTF},01/04/2010 07:01:52,DTAA/NKM0018,PC-3107,Logon
{D6U8-F3ZB05SS-8265BNVN},01/04/2010 07:02:27,DTAA/YCD0922,PC-1763,Logon
{I5E6-J0OB13RJ-0326SHBB},01/04/2010 07:03:13,DTAA/TQC0249,PC-1513,Logon
{R8O4-L7JM50GB-0982XNCR},01/04/2010 07:03:17,DTAA/NRM0093,PC-2882,Logon
{G5R5-J3JI50YC-4786NZIO},01/04/2010 07:03:23,DTAA/CAR0015,PC-0700,Logon
{Z3O7-G3PU71FU-8231QCED},01/04/2010 07:03:52,DTAA/ZBM0626,PC-2382,Logon
{Y3L4-P8JU24RZ-4698FUVE},01/04/2010 07:04:05,DTAA/CMF0339,PC-1939,Logon
{B1C7-Z6XC76KV-6067MGOA},01/04/2010 07:04:11,DTAA/BFO0438,PC-4057,Logon
{N4O4-G8LA04SO-6757JTFJ},01/04/2010 07:05:01,DTAA/JCT0410,PC-1699,Logon
{S5K3-U9JW92NY-2107XNBR},01/04/2010 07:05:02,DTAA/SGS0352,PC-4935,Logon
{Z8V9-B3US79QX-4031HNMF},01/04/2010 07:05:03,DTAA/ALW0694,PC-0415,Logon
{K0V1-G5GZ53AL-6867ZIQF},01/04/2010 07:05:10,DTAA/DRH0790,PC-2553,Logon
{M6B5-U1WV33AA-3611GNBD},01/04/2010 07:05:32,DTAA/YQW0689,PC-1761,Logon
{S1A6-W4UG64WQ-8119VTUI},01/04/2010 07:05:40,DTAA/SBH0674,PC-0750,Logon
{Y7H5-D7LW44OK-3270QPWS},01/04/2010 07:05:53,DTAA/AEC0750,PC-2926,Logon
{Q8R0-G8JC42OD-1661RMAR},01/04/2010 07:06:01,DTAA/DSS0112,PC-3385,Logon
{M7Y9-Z8HX88OI-4783TZWE},01/04/2010 07:06:10,DTAA/FKR0550,PC-2469,Logon
{I7X2-J1JB17DZ-2607IBWR},01/04/2010 07:06:33,DTAA/SSW0815,PC-0542,Logon
{J7Z2-L8QM57MG-3315LKQG},01/04/2010 07:07:08,DTAA/TFS0216,PC-0502,Logon
{C6T2-T1IZ27SS-6456TDSQ},01/04/2010 07:07:16,DTAA/YJJ0129,PC-0075,Logon
{L6Q0-P8VR18PF-2723EARQ},01/04/2010 07:07:25,DTAA/JHN0241,PC-2064,Logon
{H6C1-O6WB71BX-3406KCXS},01/04/2010 07:07:38,DTAA/EFS0114,PC-3607,Logon
{R2E8-F8AY98FH-6038UFVR},01/04/2010 07:07:47,DTAA/PID0096,PC-3167,Logon
{A9V9-M6TY16CH-0698XEIQ},01/04/2010 07:07:49,DTAA/HPF0958,PC-3782,Logon
{G9X7-T1ZK71KK-6670REPW},01/04/2010 07:07:59,DTAA/JCC0998,PC-2846,Logoff
{N7V7-U4NW56MM-4062SKTT},01/04/2010 07:08:03,DTAA/RBY0065,PC-2214,Logon
{Y4R8-K7UL96LY-5051PKTO},01/04/2010 07:08:16,DTAA/CSR0189,PC-3494,Logon
{V2A1-X9TQ98ZI-1738NBFV},01/04/2010 07:08:27,DTAA/JTT0989,PC-0989,Logon
{F1E1-U7CP17NR-5568FBVY},01/04/2010 07:08:30,DTAA/JFA0081,PC-4328,Logon
{Z2R4-Q8NO19CH-0262UAUG},01/04/2010 07:08:37,DTAA/STC0066,PC-3069,Logon
{O7Y1-F9KD12OT-4790PTTR},01/04/2010 07:09:30,DTAA/PUH0847,PC-2550,Logon
{V7E1-D5TT67NR-4759QTVB},01/04/2010 07:09:37,DTAA/OZD0789,PC-4695,Logon
{B1O6-M3MI98PE-8842JZVZ},01/04/2010 07:09:40,DTAA/NAC0161,PC-1120,Logon
{K1N8-F1DI32EX-4265ULOK},01/04/2010 07:09:46,DTAA/ARS0993,PC-1203,Logoff
{D8I4-G1SK54PC-5801ZYWL},01/04/2010 07:09:56,DTAA/MND0048,PC-4163,Logon
{F6D8-R3NX64TJ-3105EFNP},01/04/2010 07:09:57,DTAA/NWT0708,PC-1857,Logon
{P9B2-O6YW22PQ-0874OWFZ},01/04/2010 07:11:13,DTAA/HCM0681,PC-3591,Logon
{V2I3-J4SG49AL-3265XRMY},01/04/2010 07:11:19,DTAA/CLB0995,PC-2437,Logon
{D5D7-Y5SJ23AM-8278GCIN},01/04/2010 07:11:22,DTAA/OBF0564,PC-3120,Logon
{X1Z1-R3HU01II-2018SVCV},01/04/2010 07:11:36,DTAA/RER0237,PC-1175,Logon
{W0D0-Y0SN54QJ-5389TKNM},01/04/2010 07:11:41,DTAA/SBM0217,PC-4499,Logon
{E6A6-N8NI51FM-3806OEZZ},01/04/2010 07:12:00,DTAA/CGM0319,PC-3173,Logon
{D7S4-D3BJ59WI-4227APJI},01/04/2010 07:12:56,DTAA/OSS0859,PC-3867,Logon
{R3D8-X6PA13IR-8576PLFH},01/04/2010 07:13:10,DTAA/GNH0394,PC-2161,Logon
{G0H6-Y9AR37MV-4402TZFD},01/04/2010 07:13:11,DTAA/DSM0990,PC-4152,Logon
{V6E8-I0GB48ZH-4173XXLY},01/04/2010 07:13:30,DTAA/DBM0698,PC-1444,Logon
{G2B3-X9JH43GG-6072UJCA},01/04/2010 07:14:37,DTAA/LIB0089,PC-0458,Logon
{P8H9-S9PU31VY-1918DOFH},01/04/2010 07:16:10,DTAA/LDM0318,PC-1591,Logon
{F0F7-N1HH96MP-0668VODB},01/04/2010 07:16:18,DTAA/KCH0987,PC-0869,Logon
{P6V8-A8ER29YZ-1231CYSV},01/04/2010 07:16:23,DTAA/GSL0697,PC-3442,Logon
{P7C5-P6QE71RA-6406PLON},01/04/2010 07:16:58,DTAA/SEF0446,PC-2477,Logon
{F1L3-S3HW44SY-6026PYDS},01/04/2010 07:18:09,DTAA/COS0121,PC-0462,Logon
{P7T3-A4WP22XJ-6543VLTB},01/04/2010 07:18:28,DTAA/JGC0775,PC-2680,Logon
{L3T9-P9PK12ZP-7360SMTH},01/04/2010 07:18:37,DTAA/CLB0995,PC-3293,Logoff
{C5P5-F1QU03SX-8039PKIO},01/04/2010 07:19:06,DTAA/DBA0367,PC-3885,Logon
{I5F0-H7JZ69QF-5650AENC},01/04/2010 07:19:13,DTAA/HOO0224,PC-2668,Logon
{V5J1-E9IS01IM-7542DQES},01/04/2010 07:19:59,DTAA/PRR0982,PC-1438,Logon
{V5X7-C9JF64XS-1100ZZTH},01/04/2010 07:20:07,DTAA/GKC0919,PC-3647,Logon
{V4I3-Y2PH29GP-6243ZIEU},01/04/2010 07:20:08,DTAA/CLB0995,PC-3713,Logon
{T4T9-E9HS66CC-5865IWME},01/04/2010 07:20:10,DTAA/DDJ0535,PC-3465,Logon
{C0I5-T5ON19OC-7478DOUN},01/04/2010 07:20:14,DTAA/JMC0233,PC-0805,Logon
{N2I1-W1SB97GF-9796ZQTP},01/04/2010 07:20:24,DTAA/ONB0177,PC-0232,Logon
{N6C2-E6PP98SS-7320XETF},01/04/2010 07:20:27,DTAA/OXC0609,PC-0313,Logon
{U3C7-N1QQ70ES-3935EORP},01/04/2010 07:20:41,DTAA/MFN0656,PC-1313,Logon
{I8U3-V5CO34DO-2506MGNQ},01/04/2010 07:20:49,DTAA/NTO0396,PC-2674,Logon
{Q2Q6-D2BJ58YI-1660KQZL},01/04/2010 07:20:50,DTAA/HLA0457,PC-4441,Logon
{J8Z5-P1CF07SR-4560BSUS},01/04/2010 07:20:53,DTAA/NWG0682,PC-2765,Logon
{Q8J4-R5RJ61HC-0946TQAX},01/04/2010 07:21:06,DTAA/AKH0067,PC-2396,Logon
{O4Z0-K2CG07YW-5573TPIU},01/04/2010 07:21:18,DTAA/CDF0585,PC-1308,Logon
{W3C2-D7KL77JV-6964LZSP},01/04/2010 07:21:29,DTAA/HJK0057,PC-1587,Logon
{F6W9-T9JQ42YE-6487WLQZ},01/04/2010 07:21:31,DTAA/RKC0190,PC-4117,Logon
{Q5E9-Y3II86YC-4074CSHA},01/04/2010 07:21:34,DTAA/HCR0795,PC-2757,Logon
{Y9G2-J5NX76XL-5668PPMQ},01/04/2010 07:21:36,DTAA/CJW0317,PC-1900,Logon
{Z0Y8-M0KI31EO-8767MYKQ},01/04/2010 07:21:55,DTAA/WCN0570,PC-3651,Logon
{M4U4-B9CH75RN-3366XWEJ},01/04/2010 07:21:59,DTAA/DXM0213,PC-3815,Logon
{J6P7-J7FX92ZV-3715IUMF},01/04/2010 07:22:01,DTAA/DCB0462,PC-2659,Logon
{B3H9-W8BN79OJ-7914VNCA},01/04/2010 07:22:06,DTAA/MTC0538,PC-0548,Logon
{A6D4-V6CG02RW-2325PBJG},01/04/2010 07:22:32,DTAA/RBB0229,PC-0696,Logon
{K7F7-S5GA82OW-5225HGCS},01/04/2010 07:22:42,DTAA/DWB0426,PC-4757,Logon
{X8L7-V8LR95LP-8872QDBA},01/04/2010 07:22:55,DTAA/ABH0963,PC-2613,Logon
{D8O2-A0IV07JA-5388DQPD},01/04/2010 07:23:00,DTAA/TLV0936,PC-1917,Logon
{P4Z5-X2JU93YV-1740CCGO},01/04/2010 07:23:04,DTAA/KDC0928,PC-1655,Logon
{Q0L3-K1VI07NB-5649RETU},01/04/2010 07:23:08,DTAA/MEV0886,PC-0565,Logon
{T9J8-B2HM51FS-0626NPYV},01/04/2010 07:23:11,DTAA/FFP0721,PC-0690,Logon
{D5P2-C0AR66HU-0090LVUI},01/04/2010 07:23:12,DTAA/BFV0911,PC-1532,Logon
{Y8R9-M8UU90RQ-4244ISPL},01/04/2010 07:23:13,DTAA/IJJ0342,PC-3239,Logon
{S1D8-L2OM34ED-1188IJPR},01/04/2010 07:23:20,DTAA/SLM0781,PC-2034,Logon
{X2P1-O2UE01YR-9760QMBU},01/04/2010 07:23:21,DTAA/IRC0991,PC-1118,Logon
{Q1E4-C2IJ22RX-1866ELNF},01/04/2010 07:23:23,DTAA/KBP0188,PC-3087,Logon
{Y7Q1-V1VE97UL-1349IATS},01/04/2010 07:23:24,DTAA/MSV0506,PC-3240,Logon
{D0D2-P4HS41EF-0270CDOF},01/04/2010 07:23:31,DTAA/ROM0419,PC-3957,Logon
{Z1K5-O7YQ19PB-0938GXDY},01/04/2010 07:23:32,DTAA/SBH0674,PC-4971,Logon
{J8M4-D8IB31UA-6097XSHB},01/04/2010 07:23:33,DTAA/SCB0529,PC-1462,Logon
{S3U6-A8KL83QK-8281RGGP},01/04/2010 07:23:34,DTAA/WFL0495,PC-2899,Logon
{X3S5-Z7RC48MY-1349TWEG},01/04/2010 07:23:36,DTAA/RLC0442,PC-1467,Logon
{J6Y9-B9IB47HQ-3168AURS},01/04/2010 07:23:40,DTAA/FIM0668,PC-3866,Logon
{S1K1-Y3RE14UW-9107LJDW},01/04/2010 07:23:40,DTAA/ALN0201,PC-4853,Logon
{P6K5-X4LK42MP-3365QKWK},01/04/2010 07:23:55,DTAA/BNL0480,PC-4463,Logon
{G0P8-Y9CV20GJ-1709SDZF},01/04/2010 07:24:13,DTAA/XXD0650,PC-3137,Logon
{B6Z5-H3EX44BW-6279KICR},01/04/2010 07:24:22,DTAA/AKP0173,PC-2876,Logon
{C0Q5-Y8YL79MG-3428ZTUC},01/04/2010 07:24:28,DTAA/AID0577,PC-0425,Logon
{K0D9-W6UR89GL-2075MGNF},01/04/2010 07:24:32,DTAA/CCB0496,PC-0214,Logon
{Y7D3-M4IU19AF-0822UPPY},01/04/2010 07:24:53,DTAA/AMA0191,PC-4736,Logon
{F9S0-B0SC93AX-8230PLSV},01/04/2010 07:25:21,DTAA/HSM0389,PC-1057,Logon
{M9A0-M9TJ33YM-9539QTYG},01/04/2010 07:25:25,DTAA/MMH0581,PC-3464,Logon
{F5P3-L1EF22OU-2053CATM},01/04/2010 07:26:02,DTAA/DSM0990,PC-4152,Logoff
{V2Z6-V4XD23RU-3730YKEB},01/04/2010 07:26:12,DTAA/CPS0559,PC-1877,Logon
{T5N8-G0QJ67HS-5850UOTH},01/04/2010 07:26:19,DTAA/OHA0451,PC-1381,Logon
{G4K3-P6WO13HK-6127ZSOD},01/04/2010 07:26:39,DTAA/KBC0337,PC-1303,Logon
{U6N7-L7IV98KF-6013JKRR},01/04/2010 07:26:42,DTAA/WFH0909,PC-1631,Logon
{C1K6-G1MF81AF-1025KAMA},01/04/2010 07:26:56,DTAA/AGW0182,PC-4531,Logon
{S9P4-Z9TB79MA-1182AFMU},01/04/2010 07:26:58,DTAA/AGB0091,PC-1512,Logon
{W5R4-E4SK20LH-2847SXWK},01/04/2010 07:27:19,DTAA/ARB0100,PC-4584,Logon
{M9Q8-Y6IZ89UN-2377QXOC},01/04/2010 07:27:24,DTAA/BML0618,PC-0659,Logon
{N4A6-Y1OZ47RJ-4959KJKP},01/04/2010 07:27:24,DTAA/RCR0864,PC-1583,Logon
{J7Q3-J4RM45KN-0745PPXU},01/04/2010 07:27:24,DTAA/RJP0286,PC-0026,Logon
{C9H2-B6CH29GE-3012KPRW},01/04/2010 07:27:37,DTAA/ACH0803,PC-4334,Logon
{J1Q7-C7ZM08SE-0646BEYZ},01/04/2010 07:27:51,DTAA/NBB0501,PC-0457,Logon
{U8P3-B1DE42DM-8877STPA},01/04/2010 07:27:55,DTAA/TRT0979,PC-1846,Logon
{X2E4-L9EP68DD-4725IRSH},01/04/2010 07:28:18,DTAA/JJR0278,PC-1005,Logon
{K2E8-I1PK24CM-5515KZOO},01/04/2010 07:28:41,DTAA/CDZ0056,PC-4052,Logon
{H2C5-G8EW90HE-7528LKDY},01/04/2010 07:28:44,DTAA/DBG0686,PC-1575,Logon
{I7J4-B9EU95QR-4202XRGB},01/04/2010 07:28:44,DTAA/MXM0838,PC-4983,Logon
{K3N1-P7QP54BY-2191RQWA},01/04/2010 07:28:45,DTAA/TKH0211,PC-0719,Logon
{Z0B9-B6DM89CW-9879PWQC},01/04/2010 07:28:46,DTAA/QCD0829,PC-0386,Logon
{F7E8-P8WW93TW-2736ZOMI},01/04/2010 07:29:01,DTAA/SVC0175,PC-3384,Logon
{R8U5-S5YC85HV-4100OUVI},01/04/2010 07:29:27,DTAA/JGS0274,PC-4606,Logon
{V3F8-S3DF13WV-2282YJXA},01/04/2010 07:29:30,DTAA/CLK0383,PC-0419,Logon
{T8N3-J5PV59AO-5522CMCV},01/04/2010 07:29:32,DTAA/RDP0855,PC-2975,Logon
{O1Z0-G1HU24HN-4690KGFF},01/04/2010 07:29:38,DTAA/JXG0567,PC-3192,Logon
{J7F6-X3EF58TQ-1004ZMTQ},01/04/2010 07:30:02,DTAA/SLC0778,PC-3199,Logon
{L6B9-O0FL24QY-6458OHKW},01/04/2010 07:30:03,DTAA/ECG0753,PC-1669,Logon
{M6G3-K1TD08LC-8398TXEL},01/04/2010 07:30:07,DTAA/MST0883,PC-3200,Logon
{Z3O4-L6GT21BX-5936XBZF},01/04/2010 07:30:56,DTAA/CHS0324,PC-3251,Logon
{R9S6-N6GV08NA-1379MEQF},01/04/2010 07:31:15,DTAA/KRD0507,PC-3424,Logon
{G8G2-H3UL98NX-4693YYXM},01/04/2010 07:31:28,DTAA/MWJ0837,PC-3737,Logon
{Y8P0-U9AQ48JT-2983NHWZ},01/04/2010 07:31:46,DTAA/AFF0760,PC-2804,Logon
{L8R2-A4SU65AY-7464YANA},01/04/2010 07:32:00,DTAA/HBF0035,PC-0991,Logon
{P0L9-Q6EN75TE-5148RXBE},01/04/2010 07:32:03,DTAA/SBH0674,PC-4971,Logoff
{E3X3-P2KM33DQ-8965ERSW},01/04/2010 07:32:04,DTAA/PVH0124,PC-4738,Logon
{Y7M2-A7YN94MQ-1674PNFB},01/04/2010 07:32:08,DTAA/FLC0811,PC-1435,Logon
{F4V5-I3FJ06SV-6416SOIV},01/04/2010 07:32:09,DTAA/LND0767,PC-1646,Logon
{B9G7-I0AA74PI-2465VXKW},01/04/2010 07:32:09,DTAA/WOT0549,PC-0304,Logon
{O2H9-K0KH33UA-3602EMWC},01/04/2010 07:32:10,DTAA/JCC0998,PC-2843,Logon
{F7B3-S1FF20CV-3279IAJL},01/04/2010 07:32:36,DTAA/AJA0220,PC-3872,Logon
{R2W9-M5JC85EY-9473LXIZ},01/04/2010 07:32:45,DTAA/JAM0392,PC-0209,Logon
{H7W8-O0EN21GD-6607EWXH},01/04/2010 07:32:52,DTAA/MZW0111,PC-0698,Logon
{F7N2-I4MV94KZ-5924FGNF},01/04/2010 07:32:54,DTAA/LAT0452,PC-0256,Logon
{I9H7-P9NM50DN-8434ZYWT},01/04/2010 07:32:56,DTAA/OJH0425,PC-1730,Logon
{Q0J6-E9EQ78BL-9281RZPJ},01/04/2010 07:33:06,DTAA/LAW0437,PC-4474,Logon
{Y3D5-D5XF25RJ-6134VQZU},01/04/2010 07:33:08,DTAA/GRC0474,PC-4438,Logon
{Q4Z2-D1ZR03KH-3803ZPFD},01/04/2010 07:33:14,DTAA/DDW0643,PC-0912,Logon
{K8L0-J5IW31KX-0819FNUN},01/04/2010 07:33:19,DTAA/AJB0370,PC-0054,Logon
{R1D2-K4IM12EZ-7044EATM},01/04/2010 07:33:23,DTAA/CBB0075,PC-3548,Logon
{K7F0-D9IL47BB-7062FCSJ},01/04/2010 07:33:38,DTAA/JMP0200,PC-1226,Logon
{B6I3-C8CL50LY-4822JONS},01/04/2010 07:33:41,DTAA/WGL0515,PC-0417,Logon
{V3R9-D7MR37NM-5958ZEKN},01/04/2010 07:33:45,DTAA/OUS0565,PC-2171,Logon
{W7U6-G2CF42XA-8630JHAG},01/04/2010 07:33:57,DTAA/IMW0965,PC-1782,Logon
{D8E4-L9GB26HS-3480EQXH},01/04/2010 07:34:23,DTAA/GMF0571,PC-3588,Logon
{Z4O2-M6GM50XM-1132CMNJ},01/04/2010 07:34:29,DTAA/PJL0320,PC-1233,Logon
{S7S7-V7AF49ZS-7893VMKF},01/04/2010 07:34:43,DTAA/UGW0223,PC-3346,Logon
{O4U2-P3JS05DQ-5331MLBP},01/04/2010 07:34:44,DTAA/CPM0959,PC-1093,Logon
